variable,mean,std
bio1_annual_mean_temperature,24.77948571895459,1.824486811965736
bio2_mean_diurnal_range,10.913644118112463,1.712839023570118
bio3_isothermality,74.18491408481947,7.512404928447726
bio4_temperature_seasonality,90.09300914888709,71.574001994028
bio5_max_temperature_of_warmest_month,31.77725310257739,1.6462351135567785
bio6_min_temperature_of_coldest_month,16.734477403098314,3.7182089747213944
bio7_temperature_annual_range,15.042775695532724,3.5581247614172566
bio8_mean_temperature_of_wettest_quarter,25.283841461049988,1.3626972696034163
bio9_mean_temperature_of_driest_quarter,23.810705455865353,2.6979265222749227
bio10_mean_temperature_of_warmest_quarter,25.658997997206157,1.4327842346441897
bio11_mean_temperature_of_coldest_quarter,23.526413264303322,2.5934930120874595
bio12_annual_precipitation,2210.700440309803,608.9513219031485
bio13_precipitation_of_wettest_month,313.1071850478338,54.003887185286914
bio14_precipitation_of_driest_month,57.53180704011461,61.88295437676092
bio15_precipitation_seasonality,54.034662070504815,19.8671380387368
bio16_precipitation_of_wettest_quarter,877.8256538274977,162.84484442247458
bio17_precipitation_of_driest_quarter,210.79961687870943,193.50422433658935
bio18_precipitation_of_warmest_quarter,530.6210726728241,135.76228693264864
bio19_precipitation_of_coldest_quarter,308.5610489458529,262.07061722966506
elev1_strm_worldclim_elevation,259.326346142447,263.0166605712178
elev2_envirem_terrain_roughness_index,11.216401918762545,18.689420045402766
elev3_envirem_topographic_wetness_index,12.18331546736006,1.011971204998903
envir1_annual_PET,1674.5771887111039,92.75566227615529
envir2_aridity_index_thornthwaite,40.00431234318183,23.753451121310142
envir3_climatic_moisture_index,0.17097471370672965,0.24706624990237086
envir4_continentality,2.5799545053748467,1.7156932804761276
envir5_embergers_pluviothermic_quotient,547.5184446112592,271.60703328399546
envir6_growing_deg_days_0,107270.54061073156,8116.446525559739
envir7_growing_deg_days_5,107270.54061073156,8116.446525559739
envir8_max_temp_coldest,294.22379795590723,22.005658626284834
envir9_min_temp_warmest,202.4825580254685,22.408953514392106
envir10_month_count_by_temp_10,11.98280295510159,0.4469649511351701
envir11_PET_coldest_quarter,119.3330343325025,11.620501355679203
envir12_PET_driest_quarter,129.33518685530234,14.264430362189975
envir13_PET_seasonality,1571.6496617940793,645.9262556144547
envir14_PET_warmest_quarter,153.9368343796082,10.42040320260721
envir15_PET_wettest_quarter,145.6822703568944,13.930168173619979
envir16_thermicity_index,647.7210315137925,57.673121306684614
